No,Code,River,Detail,Amphoe,Province,Lat,Long,Remark,Bank_level,Normal_WL,Danger_WL,River_cap,Normal_Q,Danger_Q
375,S.5,????????????,??????????-????,???????????????,???????????????,14.358716,100.58045,WL,4.7,4.2,4.7,1400,,
376,S.7A,??????????,???????????,???????,???????,14.789516,101.117092,"WL,Q",49.4,48.7,49.4,220,,
377,S.9,????????????,???????,???????,???????,14.629184,101.014437,"WL,Q,R",19.95,18.8,19.95,1200,,
379,S.14,??????,??????????,????????,??????,15.225279,101.277459,"WL,Q",62,61,62,191,,
381,S.26,????????????,???????????????? 6,???????,???????????????,14.560117,100.719943,"WL,Q",7.2,6.1,7.2,641,,
382,S.28,????????????,????????????????????????,?????????,??????,14.834639,101.084302,"WL,Q,R",31.46,29.9,31.46,1217,,
383,S.32,????????????,???????????????,?????,???????,14.55752,100.924221,"WL,Q",12.8,11.55,12.8,973,,
389,S.43,????????????,?????????????,????????,??????,15.327433,101.212404,"WL,Q",51.9,50.8,51.9,980,,
394,T.1,????????????,??????????????????,?????????,??????,13.801709,100.187882,WL,11.2,10.95,11.2,,,
395,T.10,????????????,?????????????,?????,??????????,14.467108,100.115177,"WL,Q",6,5.4,6,,,
398,T.13,????????????,?????????????,??????????,??????????,14.156815,100.127385,WL,6.4,6.16,6.4,,,
399,T.14,????????????,??.???????????,???????,??????,13.723567,100.21601,WL,10.3,10,10.3,,,
400,T.15,????????????,?????????????,??????,??????,14.0518,100.175342,WL,7.8,7.6,7.8,,,
404,K.2B,?????????????,?????????????,?????,???????,13.541195,99.824104,WL,14.3,11.4,14.3,,,
405,K.3A,?????????????,????????????????,?????,?????????,13.995461,99.538047,WL,11.8,9.4,11.8,,,
406,K.10,?????????????,????????????,??????,?????????,14.092003,99.178571,"WL,Q,R",10.3,8.2,10.3,1020,740,1020
407,K.11A,?????????????,???????????,???????,?????????,13.950238,99.645159,"WL,Q",6.2,4.9,6.2,1495,900,1495
408,K.12,????????,?????????????????,?????,?????????,14.175436,99.434146,"WL,Q,R",6.1,4.9,6.1,170,115,170
412,K.25A,??????????,??????,??????,???????,13.402928,99.417037,"WL,Q",4.9,3.9,4.9,320,200,320
414,K.31,??????????????,??????????,??????,?????????,14.434116,98.809165,"WL,Q",14.8,11.8,14.8,2210,1770,2210
415,K.32A,???????????,???????????????,??????,?????????,14.276192,98.931065,"WL,Q,R",6,4.8,6,350,185,350
416,K.35A,?????????????,???????????,?????,?????????,14.058624,99.445228,"WL,Q",5.5,4.4,5.5,440,260,440
418,K.37,?????????????,???????????,?????,?????????,13.939994,99.41607,"WL,Q,R",11.65,9.3,11.65,1955,1290,1955
421,K.49,????????,??????????,???????,?????????,14.48935,99.469758,WL,4.5,3.6,4.5,,,
424,K.54,?????????????,????????????,?????????,?????????,14.535959,98.787688,"WL,Q,R",8,6.4,8,1080,790,1080
425,K.55A,?????????????,?????????????,????????,???????,13.818668,99.864743,"WL,Q",9,7.2,9,1730,1165,1730
426,K.56A,?????????????,????????,???????,???????,13.741181,99.842938,"WL,Q",10.3,8.2,10.3,,,
427,K.57,?????????????,????????????,???????,???????????,13.468574,99.939382,WL,15.5,13.95,15.5,,,
428,K.58,?????????????,??????????,??????,?????????,14.215224,99.058218,"WL,Q",6.3,5,6.3,630,465,630
430,K.61,??????,???????????????,??????,???????,13.69253,99.44971,"WL,Q,R",4.65,3.7,4.65,,,
431,K.62,??????,???????????,??????????????,?????????,13.781018,99.420996,"WL,Q",5.8,4.65,5.8,,,
435,Kgt.1,????????????????,??????????????,?????,??????????,14.051492,101.367575,"WL,Q",4.13,3.8,4.13,,,
436,Kgt.3,????????????????,??????????????????,???????????,??????????,13.986694,101.705389,"WL,Q",8.79,7.74,8.79,529,424,529
437,Kgt.6,????????????????,???????,???????????,??????????,13.973413,101.517451,"WL,Q",6.61,5.29,6.61,,,
438,Kgt.9,???????????,?????????????,?????????,???????,13.669512,102.074753,"WL,Q",10,9.01,10,473,379.2,473
439,Kgt.10,???????????,?????????????,?????,???????,13.809596,102.054386,"WL,Q,R",11,9.98,11,300,240.9,300
440,Kgt.12A,??????????,????????,?????,???????,13.938871,101.97695,"WL,Q",8.57,7.89,8.57,108,86.6,108
441,Kgt.13A,??????????,??????????????,???????????,??????????,13.910088,101.838211,"WL,Q,R",16.17,14.49,16.17,336.8,269.6,336.8
442,Kgt.14A,???????,???????????,????,??????????,14.161249,101.883015,"WL,Q",5.07,4.58,5.07,122.6,98.4,122.6
443,Kgt.15B,????????,?????????????,????,??????????,14.06495,101.923601,"WL,Q",7.84,7.01,7.84,292.7,234.6,292.7
445,Kgt.19A,????????,????????????,??????????,??????,13.40475,101.281719,"WL,Q",4.8,4.33,4.8,83.95,67.5,83.95
446,Kgt.30,?????????????,?????????????????????????????,?????,??????????,13.687966,101.077034,WL,1.7,1.36,1.7,,,
448,Kgt.34,?????????,????????,????,??????????,14.104612,101.744138,"WL,Q,R",7.56,6.79,7.56,407.6,326.75,407.6
452,Kgt.43A,?????????,?????????,???????????,??????????,14.021743,101.750666,"WL,Q",10.15,9.48,10.15,623,499,623
459,Ny.1B,?????????????,?????????????,?????,???????,14.245822,101.274251,"WL,Q,R",8.81,8.44,8.81,242,193.6,242
460,Ny.3,??????????,?????????,??????,???????,14.286397,101.070506,"WL,Q",6.26,5.82,6.26,93.7,75.3,93.7
463,Ny.7,?????????????,???????????????????,?????,???????,14.200478,101.219318,"WL,Q,R",6.56,5.25,6.56,,,
467,Z.10,?????????????,?????????????,???????,????,12.4765,102.477867,"WL,Q,R",11.5,10.59,11.5,444,355.2,444
468,Z.11,???????????,?????????????,????,?????,12.85775,101.615722,"WL,Q,R",6.53,5.76,6.53,154.4,123.6,154.4
469,Z.13,??????????????,???????,?????,????????,12.763234,102.138036,"WL,Q",6.02,5.02,6.02,226.4,181.4,226.4
470,Z.14,?????????,????????,?????,????????,12.744513,102.206423,"WL,Q",7.95,7.48,7.95,201,160.8,201
472,Z.21,????????,???????????????,?????,????????,12.791958,102.25467,"WL,Q,R",7.49,6.55,7.49,211.05,169,211.05
473,Z.28,????????,???????????,??????????,????????,13.077349,101.945525,"WL,Q,R",6.49,5.87,6.49,105.65,84.6,105.65
475,Z.38,?????????,????????????,?????,?????,12.737965,101.228398,"WL,Q",2.5,2.15,2.5,52.5,42,52.5
483,Z.57,??????????????,?????????????????,?????,????????,12.613591,102.11411,"WL,Q",3.44,2.87,3.44,464.8,372.2,464.8
484,Z.58,?????????????,???????????,???????,????,12.357309,102.437893,"WL,Q",4.5,3.6,4.5,,,
486,Z.62,????????,????????,????????,?????,12.783579,101.295947,"WL,Q",6.85,6.23,6.85,153,122.5,153
487,Z.64,??????????????,???????????,?????,????????,12.657201,102.154389,"WL,Q",7.21,6.43,7.21,470.2,376.6,470.2
490,B.3A,??????????????,??????????????,??????????,????????,12.863529,99.678445,"WL,Q",4.4,3.5,4.4,260,170,260
491,B.6A,???????????????,??????????????,??????????,????????,12.963797,99.764473,"WL,Q",6,4.8,6,300,180,300
492,B.8A,???????,???????????,??????,????????,12.815085,99.700889,WL,6,4.8,6,,,
493,B.9,??????????????,????????????,??????,????????,12.806147,99.770401,"WL,Q",6.2,4.95,6.2,300,160,300
494,B.10,??????????????,??????????,??????,????????,12.973937,99.887839,"WL,Q",8.5,6.8,8.5,400,230,400
495,B.11,???????????????,??????????,?????????????,????????,13.174708,99.68074,"WL,Q,R",5.6,4.5,5.6,,,
496,B.15,??????????????,??????????????,?????,????????,13.111236,99.948492,"WL,Q",5.1,3.8,5.1,150,100,150
497,B.16,??????????????,????????????,???????,????????,13.049044,99.91844,"WL,Q",6.9,5.5,6.9,185,120,185
499,B.18,??????????????,??????????????,??????,????????,12.813373,99.794023,"WL,Q",7,5.6,7,290,180,290
501,Gt.7,????????????,??????????,????????,???????????????,11.240761,99.436208,"WL,Q,R",7.5,5.6,7.5,825,480,825
503,Gt.9,???????????,????????,???????,???????????????,11.496574,99.602387,"WL,Q,R",4,3,4,100,60,100
504,Gt.10,????????,?????????????????,????????,???????????????,11.40416,99.51922,"WL,Q",6.5,4.9,6.5,280,150,280
505,Gt.11,????????,???????????,????????????,???????????????,11.064306,99.372249,"WL,Q",3,2.1,3,85,35,85
511,Gt.20,????????????,?.?.??????????????,????????,???????????????,11.205549,99.50856,"WL,Q",6,5.4,6,,,
513,Gt.21,???????????????,????????????????,????????,???????????????,11.20307,99.50835,"WL,Q",6,4.5,6,,,
515,Ky.3,?????????????,???????????,???????,???????????????,12.097618,99.788553,"WL,Q",4.4,3.3,4.4,340,270,340
516,Pr.1,??????????????,???????????,????????,???????????????,12.389905,99.911128,WL,8,6,8,,,
517,X.5C,??????????,???????????,??????,????????????,9.113215,99.223678,WL,2.5,1.8,2.5,,,
518,X.36,??????????,???????????,???????????,????????????,9.029404,98.969551,"WL,Q,R",10.2,9,10.2,1112,944,1112
519,X.37A,??????????,??????????????,??????,????????????,8.570979,99.253867,"WL,Q,R",11.7,10.7,11.7,556,431,556
521,X.53A,?????????,??????????,?????,?????,10.507196,99.117796,WL,8.7,7,8.7,200.5,121,200.5
523,X.64,??????????,??????????,??????,?????,10.665624,99.171227,"WL,Q,R",17.13,15.5,17.13,452.5,263,452.5
525,X.149,????????,??????????,??????,?????????????,8.73097,99.746083,"WL,Q,R",33.96,32.5,33.96,1932,1202.5,1932
526,X.158,????????????,??????????,??????,?????,10.594507,99.141773,"WL,Q,R",11.5,10,11.5,703.5,456,703.5
529,X.180,????????????,??????????? 2,?????,?????,10.497059,99.170124,WL,3.7,3,3.7,,,
532,X.200,?????????,??????????,??????,?????????????,8.408358,99.797853,"WL,Q",35.2,32.5,35.2,245,36,245
533,X.201A,????????? (??),?????????????,?????,?????,10.503342,98.964404,"WL,Q",41,39,41,145,42.5,145
534,X.203,?????????,?????????,?????,?????????????,8.396292,99.920134,"WL,Q",10.5,9.5,10.5,39.55,15.35,39.55
535,X.212,??????????? (????),??????????,???????,?????,9.95473,99.080043,"WL,Q",6,4.5,6,1029,688.5,1029
536,X.213,??????????? (??),??????????,??????,?????,9.783568,98.777812,"WL,Q,R",49.5,47,49.5,672,322,672
538,X.217,??????????,???????????,???????,????????????,8.84753,99.198863,"WL,Q",6,4.5,6,1340,703.5,1340
540,X.248,??????????,?????????,??????,?????,10.637701,99.05022,"WL,R",23.89,22,23.89,,,
545,X.285,???????????,?????????????,?????,?????????????,8.427667,99.96143,"WL,R",2.5,2,2.5,,,
551,X.44,????????????,?????????????,???????,?????,7.002176,100.45606,"WL,Q",7.4,6,7.4,521,329,521
553,X.68,?????????,?????????,?????,??????,7.56871,100.048498,"WL,Q",15.6,14.5,15.6,60,24.1,60
555,X.90,????????????,???????????,???????,?????,6.931245,100.439861,"WL,Q,R",9.34,8,9.34,777.8,448,777.8
558,X.113,???????????,????????????,?????,?????,6.635038,100.393409,"WL,Q,R",36.48,34.5,36.48,104.6,33,104.6
560,X.170,??????,??????????,???????????,??????,7.559007,99.98756,"WL,Q,R",25.2,24,25.2,348,188,348
561,X.173A,????????????,????????????,?????,?????,6.8232,100.438199,"WL,Q,R",16.13,15,16.13,272.9,163,272.9
562,X.174,???????,???????????,???????,?????,6.986368,100.481867,"WL,Q,R",8.88,6.5,8.88,190,62,190
565,X.265,????????,????????????????,?????,??????,7.616891,100.078894,WL,8,7.5,8,,,
567,X.276,?????????? (??),??????????,????????,??????,7.707236,99.841744,"WL,Q,R",53.9,52,53.9,63.25,14.5,63.25
568,X.277,?????????? (????),????????????,???????,??????,7.740179,99.980018,WL,20.9,19.9,20.9,,,
571,X.10A,?????????????,??????????????,?????,???????,6.868398,101.253073,WL,1.15,0.8,1.15,,,
572,X.40A,?????????????,??????????,?????,????,6.552798,101.266294,"WL,Q",16.5,15.5,16.5,644,442,644
574,X.73,?????????????,?????????????,?????,????????,6.29771,101.731674,"WL,Q",14.9,13.9,14.9,126,78.5,126
576,X.77,?????????????,????????????,?????????,????,6.262033,101.268219,"WL,Q",39.7,38,39.7,644,258,644
577,X.119,????????-??,??????????,???????-??,????????,6.074279,102.040062,WL,7,6,7,,,
578,X.119A,????????-??,????????????????,???????-??,????????,6.022918,101.975244,"WL,Q",9.3,8.3,9.3,313,220,313
580,X.184,?????????????,????????,???????,????????,6.227159,101.496947,"WL,Q",31.4,28,31.4,1638,727,1638
581,X.199,?????????????,???????????,???????,????????,6.35155,101.494108,WL,22.3,20.3,22.3,,,
582,X.272A,?????????????,????????,???????,???????,6.67649,101.606411,WL,3.6,3,3.6,,,
583,X.273,?????????????,?????????????,?????,????,6.479811,101.444911,WL,16.5,14.5,16.5,,,
584,X.274,????????-??,????????????,????,????????,5.839205,101.892307,"WL,Q,R",23.5,22.4,23.5,254,139,254
585,X.275,?????????????,?????????,?????,???????,6.821519,101.244889,WL,2,1.5,2,,,
586,X.283,?????????????,?????????,?????,???????,6.715493,101.285399,WL,10,9.5,10,,,
587,X.47,??????????,??????????,?????,????,7.555793,99.578504,WL,5.3,4.3,5.3,,,
588,X.56,??????????,?????????????,???????,????,7.77098,99.537302,"WL,Q",15.7,14,15.7,445,274,445
590,X.139A,????????????,??????????????,????????,????,7.320094,99.795697,"WL,Q,R",24.2,23.8,24.2,138,87,138
592,X.150,????????,???????????????,????,????,6.940828,99.872902,"WL,Q,R",12.8,11.5,12.8,265,183,265
593,X.186,?????????????,????????????,?????????,?????,8.829339,98.369211,WL,4.4,3.4,4.4,,,
594,X.187,?????????????,??????????,?????????,?????,8.776191,98.390477,"WL,Q,R",8.25,7.5,8.25,630,514,630
595,X.188A,??????????,??????????,????,?????,8.833343,98.458535,"WL,Q,R",17.46,16,17.46,170.3,97,170.3
596,X.190A,??????????? (??),???????????,??????,??????,7.903395,98.349675,"WL,Q",17.13,15.5,17.13,61.05,6.3,61.05
597,X.191,??????????? (????),??????????????????,?????,??????,7.891058,98.391732,"WL,Q,R",4,3,4,42.9,18.8,42.9
598,X.196,????????,?????????,????,?????,8.702452,98.409122,"WL,Q",18.54,16.5,18.54,235,69,235
600,X.207,???????????,?????????????,???????,?????,10.400022,98.786481,"WL,Q,R",4.6,3,4.6,32.8,9.9,32.8
603,X.209,?????????????? (????),???????????,?????,?????,9.958392,98.648548,"WL,Q",9.8,8.5,9.8,93.5,28.5,93.5
604,X.228,??????????,????????,?????,????,7.64528,99.5325,"WL,Q",8.4,8.3,8.4,505,490,505
605,X.231A,????????,???????????????,????,????,6.87577,99.78264,WL,3,2.3,3,,,
606,X.233,??????????,?????????,???????,????,7.907409,99.542433,"WL,Q",21.7,20,21.7,243,175,243
607,X.234,?????????? (????),???????????,?????,????,7.588889,99.576944,"WL,Q",6.4,4.5,6.4,425,230,425
608,X.236,???????????? (????),?????????????,?????????,????,7.371944,99.676944,"WL,Q,R",5.1,4,5.1,224.5,153,224.5
609,X.239,????????,?????????????,?????,????,6.726616,100.062743,"WL,Q,R",16.2,15,16.2,87,36,87
612,X.279,????????,???????????,??????,????,6.777411,100.071486,"WL,Q",23.2,22,23.2,84,50.5,84
613,X.280,????????,??????????,?????,????,6.645141,100.06741,WL,3,2.3,3,,,
614,X.281,????????,????????,??????,????,6.8035,100.0966,"WL,R",29.19,28.21,29.19,,,
